日期,总市值,总成本,基金份额,基金净值,中证全A指数点位,中证全A指数,上证指数点位,上证指数,沪深300指数点位,沪深300指数,中证500指数点位,中证500指数,中证1000指数点位,中证1000指数,创业板指数点位,创业板指数,科创50指数点位,科创50指数,中证A500指数点位,中证A500指数,恒生指数点位,恒生指数,标普500指数点位,标普500指数,纳斯达克指数点位,纳斯达克指数
2026/4/13,493890.2,420000.0,493890.0,1.0,6103.84,1.0,3988.56,1.0,4646.15,1.0,7967.7,1.0,8025.57,1.0,3476.44,1.0,1375.29,1.0,5792.78,1.0,25660.85,1.0,6816.89,1.0,22902.89,1.0
2026/4/14,498861.4,420000.0,493890.0,1.0101,6181.43,1.0127,4026.63,1.0095,4701.28,1.0119,8088.57,1.0152,8144.76,1.0149,3558.53,1.0236,1405.07,1.0217,5865.35,1.0125,25872.32,1.0082,6935.65,1.0174,23446.86,1.0238
2026/4/15,511123.5,430000.0,503790.0099,1.0146,6153.96,1.0082,4027.21,1.0097,4685.25,1.0084,8044.08,1.0096,8106.16,1.01,3514.96,1.0111,1406.32,1.0226,5837.45,1.0077,25947.32,1.0112,6998.34,1.0266,23880.73,1.0427
2026/4/16,516510.7,430000.0,503790.0099,1.0253,6239.49,1.0222,4055.55,1.0168,4736.61,1.0195,8180.08,1.0267,8232.98,1.0258,3626.27,1.0431,1422.23,1.0341,5914.06,1.0209,26394.26,1.0286,7021.49,1.03,23966.24,1.0464
2026/4/17,513296.3,430000.0,503790.0099,1.0189,6254.11,1.0246,4051.43,1.0158,4728.67,1.0178,8214.19,1.0309,8307.44,1.0351,3678.29,1.0581,1423.35,1.0349,5913.84,1.0209,26160.33,1.0195,7107.74,1.0427,24371.77,1.0641
2026/4/20,514901.2,430000.0,503790.0099,1.0221,6300.21,1.0322,4082.13,1.0235,4757.44,1.024,8290.02,1.0405,8357.81,1.0414,3677.58,1.0579,1450.52,1.0547,5954.83,1.028,26361.07,1.0273,7121.56,1.0447,24423.19,1.0664
2026/4/21,513904.1,430000.0,503790.0099,1.0201,6297.91,1.0318,4085.08,1.0242,4768.0,1.0262,8270.33,1.038,8351.16,1.0406,3688.94,1.0611,1426.68,1.0374,5959.66,1.0288,26487.48,1.0322,7131.3,1.0461,24497.87,1.0696
2026/4/22,516382.9,430000.0,503790.0099,1.025,6357.1,1.0415,4106.26,1.0295,4799.63,1.033,8376.18,1.0513,8481.24,1.0568,3752.76,1.0795,1451.14,1.0552,6006.67,1.0369,26163.24,1.0196,7117.51,1.0441,24464.92,1.0682
2026/4/23,511571.5,430000.0,503790.0099,1.0154,6303.1,1.0326,4093.25,1.0262,4786.33,1.0302,8295.21,1.0411,8362.74,1.042,3720.25,1.0701,1432.59,1.0417,5973.41,1.0312,25915.2,1.0099,7126.05,1.0454,24547.38,1.0718
2026/4/24,514725.0,430000.0,503790.0099,1.0217,6271.17,1.0274,4079.9,1.0229,4769.37,1.0265,8247.88,1.0352,8304.14,1.0347,3667.79,1.055,1453.69,1.057,5952.46,1.0276,25978.07,1.0124,7165.08,1.0511,24836.6,1.0844
